onset	duration	trial_type	response_time	choice	self_value_c	self_value1	self_value2	stim_1	valence_1	setting_1	genre_1	stim_2	valence_2	setting_2	genre_2
4.017	0.000	self	2.485	1	0.718	0.718	-0.119	31	negative	futuristic	action	28	negative	futuristic	romance
11.350	0.000	self	1.708	1	-0.325	-0.325	-0.512	20	negative	historical	romance	11	positive	futuristic	romance
20.033	0.000	self	1.197	1	0.718	0.718	-0.718	29	negative	futuristic	action	2	positive	historical	romance
28.833	0.000	self	1.181	1	0.718	0.718	-0.512	31	negative	futuristic	action	11	positive	futuristic	romance
36.000	0.000	self	2.534	2	-0.512	-0.718	-0.512	2	positive	historical	romance	11	positive	futuristic	romance
43.850	0.000	self	1.209	1	0.512	0.512	-0.119	24	negative	historical	action	28	negative	futuristic	romance
53.517	0.000	self	2.660	1	0.325	0.325	-0.325	13	positive	futuristic	action	19	negative	historical	romance
63.300	0.000	self	2.071	2	0.718	0.325	0.718	13	positive	futuristic	action	31	negative	futuristic	action
71.033	0.000	self	2.403	1	-0.512	-0.512	-0.119	11	positive	futuristic	romance	26	negative	futuristic	romance
78.233	0.000	self	1.439	1	0.325	0.325	-0.119	13	positive	futuristic	action	28	negative	futuristic	romance
87.517	0.000	self	2.787	1	0.325	0.325	-0.512	13	positive	futuristic	action	11	positive	futuristic	romance
95.317	0.000	self	1.379	2	0.119	-0.325	0.119	20	negative	historical	romance	8	positive	historical	action
104.183	0.000	self	2.579	2	-0.119	-0.718	-0.119	4	positive	historical	romance	26	negative	futuristic	romance
113.733	0.000	self	1.655	2	0.512	-0.325	0.512	19	negative	historical	romance	23	negative	historical	action
122.683	0.000	self	NaN	NaN	NaN	NaN	NaN	5	positive	historical	action	13	positive	futuristic	action
131.600	0.000	self	0.971	1	0.512	0.512	-0.512	24	negative	historical	action	10	positive	futuristic	romance
139.267	0.000	self	1.884	1	-0.119	-0.119	-0.718	28	negative	futuristic	romance	4	positive	historical	romance
149.017	0.000	self	2.185	2	-0.119	-0.718	-0.119	2	positive	historical	romance	26	negative	futuristic	romance
157.433	0.000	self	0.788	2	0.512	-0.512	0.512	11	positive	futuristic	romance	24	negative	historical	action
165.800	0.000	self	1.281	1	0.119	0.119	-0.512	5	positive	historical	action	10	positive	futuristic	romance
174.817	0.000	self	0.904	2	0.119	-0.325	0.119	19	negative	historical	romance	5	positive	historical	action
182.683	0.000	self	0.884	2	0.119	-0.718	0.119	4	positive	historical	romance	5	positive	historical	action
190.250	0.000	self	1.597	2	0.718	0.512	0.718	24	negative	historical	action	29	negative	futuristic	action
198.600	0.000	self	1.293	2	0.119	0.512	0.119	23	negative	historical	action	8	positive	historical	action
207.350	0.000	self	1.003	2	0.718	-0.325	0.718	19	negative	historical	romance	31	negative	futuristic	action
216.200	0.000	self	2.041	2	0.119	-0.119	0.119	26	negative	futuristic	romance	5	positive	historical	action
223.217	0.000	self	1.162	2	0.718	0.512	0.718	23	negative	historical	action	29	negative	futuristic	action
231.567	0.000	self	1.025	1	-0.512	-0.512	-0.325	11	positive	futuristic	romance	19	negative	historical	romance
